case,range_m,yaw_rad,seed,observed,tru_lat_m,tru_range_m,est_lat_m,est_range_m,e_lat_m,e_range_m,e_2d_m,est_yaw_rad,e_yaw_rad,a1_proxy_yaw_rad,roi_u0,roi_u1,roi_v0,roi_v1,face_width_m,face_height_m,pocket_span_m,inliers,floor_found,t_observe_s
staging,2.245,0.0,5,1,-0.4,2.463726758820443,-0.4007041158922703,2.457824335001248,-0.0007041158922702628,-0.005902423819194702,0.0059442733896704755,0.0002598015181015954,0.0002598015181015954,0.0006851949862584042,182,347,202,215,1.2029761169578768,0.09477993648759028,0.5613890867041019,344,1,0.0676564999994298
staging,2.245,0.0,6,1,-0.4,2.463726758820443,-0.40044296317263717,2.456222485946025,-0.00044296317263714524,-0.007504272874417683,0.007517335149242303,0.00015815889723556388,0.00015815889723556388,0.0004333080568122519,182,347,202,215,1.2021979804380414,0.09471862876178508,0.5610258709977513,328,1,0.055930399998032954
staging,2.245,0.0,7,1,-0.4,2.463726758820443,-0.4005871691812292,2.4571070115176723,-0.0005871691812291968,-0.0066197473027704845,0.006645737129914369,-0.0001990466538532321,-0.0001990466538532321,-0.0005226148714954283,182,347,202,215,1.202640086338463,0.0947534613478789,0.561231863240555,337,1,0.05988360000264947
staging,2.245,0.0,8,1,-0.4,2.463726758820443,-0.40071713649309854,2.457904200289132,-0.0007171364930985136,-0.005822558531310751,0.005866555428892941,-0.001400807061083852,-0.001400807061083852,-0.0036547066420483183,182,347,202,215,1.2029740080977303,0.09477977033497267,0.5613866324220067,340,1,0.046920199998567114
staging,2.245,0.0,9,1,-0.4,2.463726758820443,-0.4006941432575037,2.457763165216758,-0.0006941432575036655,-0.005963593603684814,0.006003855722104606,-4.521373707351049e-05,-4.521373707351049e-05,-9.77371528013882e-05,182,347,202,215,1.2029174250675598,0.09477531227805017,0.56136143192268,339,1,0.08495689999836031
staging,2.245,0.05,0,1,-0.4,2.463726758820443,-0.4008966148243393,2.459005077950812,-0.0008966148243392813,-0.004721680869630873,0.004806057467182755,0.04993536633530121,-6.46336646987905e-05,0.13121470498019572,182,347,200,215,1.2016759695610613,0.10924326996009648,0.5608266917615432,345,1,0.05915810000078636
staging,2.245,0.05,1,1,-0.4,2.463726758820443,-0.40129934653062255,2.461475339046023,-0.001299346530622525,-0.002251419774419894,0.0025994600222526442,0.05012503053990941,0.00012503053990940705,0.13130461207926009,182,347,202,217,1.2046982240195987,0.10951802036541805,0.5622372427839005,351,1,0.04921269999977085
staging,2.245,0.05,2,1,-0.4,2.463726758820443,-0.40075419672057944,2.4581315189648096,-0.0007541967205794142,-0.0055952398556331495,0.005645841100792548,0.049242623402046035,-0.0007573765979539682,0.1306774061696815,182,347,202,215,1.2031334548634123,0.09479233280742035,0.5615068063170073,344,1,0.06479469999976573
staging,2.245,0.05,3,1,-0.4,2.463726758820443,-0.40076901960984096,2.458222439063948,-0.0007690196098409374,-0.005504319756494791,0.005557780774918959,0.048458479505521554,-0.0015415204944784489,0.12831173012313501,182,347,202,215,1.2031679003369766,0.09479504669321633,0.5615220649915214,342,1,0.04998690000138595
staging,2.245,0.05,4,1,-0.4,2.463726758820443,-0.40134157558983435,2.461734362113814,-0.0013415755898343318,-0.001992396706628874,0.002401972043930761,0.05021367415045889,0.00021367415045888544,0.13112749941070614,182,347,202,217,1.2048103359745381,0.10952821236132165,0.5622894995599291,350,1,0.04645170000003418
staging,2.245,0.05,5,1,-0.4,2.463726758820443,-0.40072474026655,2.4579508400382277,-0.0007247402665499503,-0.0057759187822150615,0.005821210031660394,0.049960994070233744,-3.900592976625872e-05,0.1307512803420813,182,347,200,217,1.2029811355418498,0.12394351093461481,0.5614357446985416,354,1,0.06390290000126697
staging,2.245,0.05,6,1,-0.4,2.463726758820443,-0.40108909853399927,2.4601857275297165,-0.0010890985339992443,-0.0035410312907262487,0.0037047318686595533,0.0489966267775413,-0.001003373222458706,0.1286131151744956,182,347,202,217,1.2040790566115256,0.10946173241922959,0.5619473714478606,348,1,0.049971000000368804
