pose,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,t_decode_s,t_classify_s
approach_1.50m,pallet_rotated,25,675.842000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.188553,0.285038,0.351112,0.013465,0.046620
approach_1.50m,pallet_rotated,26,675.908000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.188326,0.284983,0.351076,0.011628,0.045038
approach_1.50m,pallet_rotated,27,675.974000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.188441,0.285011,0.352535,0.013703,0.045196
approach_1.50m,pallet_rotated,28,676.040000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,293,1.190099,0.296178,0.351512,0.011119,0.048249
approach_1.50m,pallet_rotated,29,676.106000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,293,1.190505,0.296280,0.351404,0.017699,0.051966
approach_1.50m,pallet_shifted,0,691.550000,none,0,0,1.499620,-0.099990,1.818209,187.087714,414.940719,254.831696,277.011047,0.049313,0.749919,188,413,258,273,1.208761,0.080584,-0.001307,0.013978,0.047319
approach_1.50m,pallet_shifted,1,691.616000,none,0,0,1.499620,-0.099990,1.818209,187.087714,414.940719,254.831696,277.011047,0.049313,0.749919,188,413,258,273,1.208846,0.080590,-0.000033,0.012464,0.053344
approach_1.50m,pallet_shifted,2,691.682000,none,0,0,1.499620,-0.099990,1.818209,187.087714,414.940719,254.831696,277.011047,0.049313,0.749919,188,413,258,273,1.208921,0.080595,0.000417,0.012064,0.050195
approach_1.50m,pallet_shifted,3,691.748000,none,0,0,1.499620,-0.099990,1.818209,187.087714,414.940719,254.831696,277.011047,0.049313,0.749919,188,413,256,273,1.206814,0.091182,-0.000551,0.016717,0.047507
approach_1.50m,pallet_shifted,4,691.814000,none,0,0,1.499620,-0.099990,1.818209,187.087714,414.940719,254.831696,277.011047,0.049313,0.749919,188,413,258,273,1.208836,0.080589,0.000621,0.011968,0.048816
