# measure_pose_arrivals run4 moving SLOW, 30 s legs at 0.15 m/s url=http://127.0.0.1:8088/monitor/state?serial=F001 rate=20.0 seconds=240.0 moving_speed=0.05
t_s,reachable,reason,pose_age_ms,pose_count,obstacles_age_ms,x_m,y_m,yaw_rad,arrival_s,interval_s,messages_in_interval,interval_m,interval_rad
49.5743,True,,1606.0,372,15.4,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9683,,,,
49.6404,True,,1700.5,372,5.9,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9399,,,,
49.735,True,,1747.5,372,53.0,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9875,,,,
49.7822,True,,1799.1,372,9.2,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9831,,,,
49.8335,True,,1882.2,372,92.4,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9513,,,,
49.9162,True,,1948.4,372,56.0,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9678,,,,
49.9833,True,,2015.0,372,25.3,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9683,,,,
50.0489,True,,2079.3,372,89.6,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9696,,,,
50.1132,True,,2152.5,372,59.4,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9607,,,,
50.1864,True,,2205.7,372,13.9,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9807,,,,
50.2395,True,,2286.1,372,94.3,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9534,,,,
50.3196,True,,2331.9,372,42.7,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9877,,,,
50.3654,True,,2402.9,372,13.0,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9625,,,,
50.4368,True,,58.6,373,72.4,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3782,2.4065,1,0.345,0.0075
50.4957,True,,128.3,373,39.4,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3674,,,,
50.5652,True,,181.7,373,92.8,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3835,,,,
50.6187,True,,260.6,373,72.1,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3581,,,,
50.6976,True,,309.1,373,23.3,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3885,,,,
50.7458,True,,379.6,373,93.8,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3662,,,,
50.8165,True,,426.2,373,38.8,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3903,,,,
50.8627,True,,475.2,373,87.9,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3875,,,,
50.9123,True,,526.4,373,34.0,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3859,,,,
50.9755,True,,591.6,373,4.3,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3839,,,,
51.0281,True,,647.0,373,59.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3811,,,,
51.0833,True,,700.5,373,10.0,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3828,,,,
51.1367,True,,749.5,373,59.0,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3872,,,,
51.186,True,,820.9,373,34.3,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3651,,,,
51.2569,True,,870.2,373,83.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3867,,,,
51.3067,True,,919.5,373,31.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3872,,,,
51.3555,True,,993.4,373,5.0,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3621,,,,
51.4298,True,,1065.8,373,77.3,6.13112661252577,12.462188577097281,-0.7561402072266893,50.364,,,,
51.5021,True,,1135.0,373,49.1,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3671,,,,
51.5711,True,,1197.8,373,12.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3733,,,,
51.634,True,,1258.7,373,73.5,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3753,,,,
51.6952,True,,1311.9,373,18.8,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3833,,,,
51.7479,True,,1401.4,373,108.3,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3465,,,,
51.8382,True,,1462.5,373,48.1,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3757,,,,
51.8986,True,,1533.3,373,37.7,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3653,,,,
51.9692,True,,1583.0,373,87.4,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3862,,,,
52.0187,True,,1631.3,373,40.8,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3874,,,,
52.0671,True,,1683.0,373,92.5,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3841,,,,
52.1187,True,,1751.5,373,63.2,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3672,,,,
52.1875,True,,1834.8,373,44.4,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3527,,,,
52.2707,True,,1913.3,373,26.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3574,,,,
52.3614,True,,2022.9,373,36.7,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3385,,,,
52.4581,True,,2074.0,373,87.8,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3841,,,,
