cycle,k,stamp,wall,regime,reason,abort,truth_x,truth_y,truth_yaw,cam_range_m,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,num_retries,dock_state,retry_joined,pallet_readback_ok,pallet_moved_m,countable,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
0,73,536.252000,18.183836,close,pallet_absent,1,6.804182,4.802130,2.002460,0.472130,0.781488,0,candidate_falls_away_like_a_floor,5,468,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.081163,-0.000000,536.552000,1,,,,,,none,0,0,face_width_not_pallet_sized,,,0.000002
0,74,536.516000,18.432755,close,pallet_absent,1,6.799529,4.793210,2.018396,0.463210,0.786260,0,candidate_falls_away_like_a_floor,5,440,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.084604,-0.000000,536.802000,0,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.085821
0,75,536.846000,18.771842,close,pallet_rotated,1,6.793443,4.780987,2.040022,0.450987,0.792627,1,,5,6691,1.000000,380,573,74,237,0.613887,0.518464,-0.518630,0,3,1,1,0.471461,0,0.067096,-0.000000,537.140000,0,,,,,,pallet_rotated,1,1,,0.613887,-0.518630,0.073125
0,76,537.110000,19.055375,close,pallet_rotated,1,6.788959,4.773851,2.054288,0.443851,0.797383,1,,8,6960,1.000000,386,585,74,241,0.623667,0.523378,-0.535716,0,3,1,1,0.471461,0,0.068085,-0.000000,537.422000,1,,,,,,none,0,1,,0.623667,-0.535716,0.000002
0,77,537.308000,19.266536,close,pallet_rotated,1,6.783684,4.768154,2.068663,0.438154,0.800876,1,,6,7176,1.000000,392,595,74,243,0.627766,0.522623,-0.548112,0,3,1,1,0.471461,0,0.068193,-0.000000,537.634000,1,,,,,,none,0,1,,0.627766,-0.548112,0.000002
0,78,537.572000,19.484528,close,pallet_rotated,1,6.780409,4.761939,2.080399,0.431939,0.805612,1,,8,7478,1.000000,398,609,76,245,0.641892,0.514122,-0.564210,0,3,1,1,0.471461,0,0.070053,-0.000000,537.852000,0,,,,,,pallet_rotated,1,1,,0.641892,-0.564210,0.070879
0,79,537.836000,19.779848,close,none,0,6.776360,4.752488,2.096734,0.422488,0.810293,1,,8,7790,1.000000,404,623,78,249,0.656050,0.512258,-0.581461,0,3,1,1,0.471461,0,0.086892,-0.000000,538.148000,1,,,,,,none,0,1,,0.656050,-0.581461,0.000002
0,80,538.100000,20.015903,close,none,0,6.773798,4.746241,2.107429,0.416241,0.814613,1,,6,8099,1.000000,412,635,74,253,0.655663,0.526295,-0.601851,0,3,1,1,0.471461,0,0.087845,-0.000000,538.384000,0,,,,,,none,0,1,,0.655663,-0.601851,0.105209
0,81,538.430000,20.357561,close,none,0,6.769569,4.735476,2.125744,0.405476,0.817949,1,,4,8347,1.000000,418,639,78,257,0.644171,0.521749,-0.629710,0,3,1,1,0.471461,0,0.099305,-0.000000,538.726000,0,,,,,,none,0,1,,0.644171,-0.629710,0.106879
0,82,538.760000,20.721539,close,none,0,6.765126,4.723488,2.145988,0.393488,0.819453,1,,4,8466,1.000000,426,639,78,263,0.615885,0.534923,-0.654411,0,3,1,1,0.471461,0,0.108711,-0.000000,539.088000,1,,,,,,none,0,1,,0.615885,-0.654411,0.000002
1,0,552.092000,0.058745,staging,none,0,7.000000,6.575162,1.570796,2.245162,0.775443,1,,6,1730,0.974930,182,347,202,213,1.202484,0.080166,0.000323,0,3,1,1,0.063246,0,0.066769,-0.000000,552.110000,0,,,,,,none,0,1,,1.202484,0.000323,0.068805
